"Time",pm10
2024-09-16 02:00:00,0.0375
2024-09-16 03:00:00,0.0457
2024-09-16 04:00:00,0.0539
2024-09-16 05:00:00,0.0485
2024-09-16 06:00:00,0.0474
2024-09-16 07:00:00,0.0463
2024-09-16 08:00:00,0.0448
2024-09-16 09:00:00,0.0490
2024-09-16 10:00:00,0.0519
2024-09-16 11:00:00,0.0421
2024-09-16 12:00:00,0.0432
2024-09-16 13:00:00,0.0330
2024-09-16 14:00:00,0.0471
2024-09-16 15:00:00,0.0414
2024-09-16 16:00:00,0.0355
2024-09-16 17:00:00,0.0329
2024-09-16 18:00:00,0.0366
2024-09-16 19:00:00,0.0369
2024-09-16 20:00:00,0.0389
2024-09-16 21:00:00,0.0342
2024-09-16 22:00:00,0.0462
2024-09-16 23:00:00,0.0464
2024-09-17 00:00:00,0.0291
2024-09-17 01:00:00,0.0255
2024-09-17 02:00:00,0.0361
2024-09-17 03:00:00,0.0333
2024-09-17 04:00:00,0.0378
2024-09-17 05:00:00,0.0334
2024-09-17 06:00:00,0.0304
2024-09-17 07:00:00,0.0304
2024-09-17 08:00:00,0.0317
2024-09-17 09:00:00,0.0293
2024-09-17 10:00:00,0.0310
2024-09-17 11:00:00,0.0311
2024-09-17 12:00:00,0.0397
2024-09-17 13:00:00,0.0416
2024-09-17 14:00:00,0.0332
2024-09-17 15:00:00,0.0454
2024-09-17 16:00:00,0.0342
2024-09-17 17:00:00,0.0245
2024-09-17 18:00:00,0.0316
2024-09-17 19:00:00,0.0254
2024-09-17 20:00:00,0.0394
2024-09-17 21:00:00,0.0334
2024-09-17 22:00:00,0.0415
2024-09-17 23:00:00,0.0372
2024-09-18 00:00:00,0.0341
2024-09-18 01:00:00,0.0258
2024-09-18 02:00:00,0.0283
2024-09-18 03:00:00,0.0357
2024-09-18 04:00:00,0.0272
2024-09-18 05:00:00,0.0354
2024-09-18 06:00:00,0.0317
2024-09-18 07:00:00,0.0321
2024-09-18 08:00:00,0.0330
2024-09-18 09:00:00,0.0364
2024-09-18 10:00:00,0.0337
2024-09-18 11:00:00,0.0309
2024-09-18 12:00:00,0.115
2024-09-18 13:00:00,0.396
2024-09-18 14:00:00,0.156
2024-09-18 15:00:00,0.816
2024-09-18 16:00:00,0.401
2024-09-18 17:00:00,0.0714
2024-09-18 18:00:00,0.0361
2024-09-18 19:00:00,0.345
2024-09-18 20:00:00,0.0360
2024-09-18 21:00:00,0.0522
2024-09-18 22:00:00,0.0317
2024-09-18 23:00:00,0.0305
2024-09-19 00:00:00,0.0319
2024-09-19 01:00:00,0.0225
2024-09-19 02:00:00,0.278
2024-09-19 03:00:00,0.0284
2024-09-19 04:00:00,0.0287
2024-09-19 05:00:00,0.0320
2024-09-19 06:00:00,0.0390
2024-09-19 07:00:00,0.0405
2024-09-19 08:00:00,0.0320
2024-09-19 09:00:00,0.0405
2024-09-19 10:00:00,0.0328
2024-09-19 11:00:00,0.0289
2024-09-19 12:00:00,0.0420
2024-09-19 13:00:00,0.0269
2024-09-19 14:00:00,0.0344
2024-09-19 15:00:00,0.0470
2024-09-19 16:00:00,0.114
2024-09-19 17:00:00,0.195
2024-09-19 18:00:00,0.821
2024-09-19 19:00:00,0.0454
2024-09-19 20:00:00,0.0427
2024-09-19 21:00:00,0.0418
2024-09-19 22:00:00,0.0429
2024-09-19 23:00:00,0.0433
2024-09-20 00:00:00,0.0406
2024-09-20 01:00:00,0.245
2024-09-20 02:00:00,1.41
2024-09-20 03:00:00,0.0485
2024-09-20 04:00:00,0.0501
2024-09-20 05:00:00,0.0546
2024-09-20 06:00:00,0.0502
2024-09-20 07:00:00,0.0536
2024-09-20 08:00:00,0.0422
2024-09-20 09:00:00,0.0461
2024-09-20 10:00:00,0.0432
2024-09-20 11:00:00,0.0451
2024-09-20 12:00:00,0.0389
2024-09-20 13:00:00,0.0381
2024-09-20 14:00:00,0.0414
2024-09-20 15:00:00,0.0510
2024-09-20 16:00:00,0.0407
2024-09-20 17:00:00,0.0582
2024-09-20 18:00:00,0.0532
2024-09-20 19:00:00,0.0464
2024-09-20 20:00:00,0.0470
2024-09-20 21:00:00,0.0489
2024-09-20 22:00:00,0.0496
2024-09-20 23:00:00,0.0382
2024-09-21 00:00:00,0.0451
2024-09-21 01:00:00,0.0442
2024-09-21 02:00:00,0.0419
2024-09-21 03:00:00,0.0399
2024-09-21 04:00:00,0.0529
2024-09-21 05:00:00,0.0440
2024-09-21 06:00:00,0.0417
2024-09-21 07:00:00,0.0459
